ip,port,anonymous,info,speed
60.162.35.178,8888,3,中国-浙江-台州,1.0887980461120605
218.76.106.78,3128,3,中国-湖南-张家界,1.094573974609375
23.91.96.251,80,3,中国-香港,1.1090281009674072
218.103.60.205,8080,3,中国-香港,1.114027976989746
219.144.210.24,81,3,中国-陕西-西安,1.125378131866455
113.85.204.9,3128,3,中国-广东-肇庆,1.1293160915374756
125.77.198.15,80,3,中国-福建-厦门,1.1543939113616943
92.222.237.16,8898,3,法国-法国,1.1650328636169434
94.20.21.38,3128,3,阿塞拜疆-阿塞拜疆,1.1778130531311035
49.73.181.87,81,3,中国-江苏-苏州,1.2118690013885498
39.67.24.35,81,3,中国-山东-临沂,1.221418857574463
14.209.20.249,3128,3,中国-广东-肇庆,1.228240966796875
122.193.14.108,80,3,中国-江苏,1.234971046447754
122.224.227.202,3128,3,中国-浙江-杭州,1.2354259490966797
218.90.174.167,3128,3,中国-江苏-无锡,1.2406129837036133
119.165.168.169,81,3,中国-山东-青岛,1.242218017578125
36.102.87.192,8888,3,中国-内蒙古-呼伦贝尔,1.243077039718628
27.8.190.68,8888,3,中国-重庆-重庆,1.2763700485229492
27.194.230.14,8888,3,中国-山东-烟台,1.2895259857177734
183.18.164.175,3128,3,中国-广东-肇庆,1.3389949798583984
210.74.157.227,80,3,中国-陕西,1.3727869987487793
223.16.227.193,8080,3,中国-香港,1.4058291912078857
94.209.99.35,80,3,荷兰-荷兰,1.4268269538879395
108.61.189.158,80,3,荷兰-荷兰,1.4536499977111816
124.65.111.46,80,3,中国-北京-北京,1.470716953277588
124.160.149.67,80,3,中国-浙江-杭州,1.5040221214294434
39.77.154.248,81,3,中国-山东-青岛,1.5060341358184814
183.62.196.10,3128,3,中国-广东-深圳,1.5119438171386719
59.34.19.5,3128,3,中国-广东-肇庆,1.5154609680175781
125.39.250.156,80,3,中国-天津-天津,1.519577980041504
159.203.61.42,8080,3,加拿大-加拿大,1.5460948944091797
59.34.18.225,3128,3,中国-广东-肇庆,1.5731000900268555
124.88.67.32,843,3,中国-新疆-乌鲁木齐,1.7007758617401123
113.185.19.225,80,3,越南-越南,1.7457051277160645
220.188.52.121,8888,3,中国-浙江-金华,1.7735180854797363
101.4.136.34,8080,3,中国-中国--赛尔新技术(北京)有限公司,1.8151519298553467
219.131.110.165,3128,3,中国-广东-肇庆,1.8185999393463135
101.254.188.198,8080,3,中国-北京-北京,1.8448669910430908
80.88.90.153,8080,3,意大利-意大利,1.8766059875488281
110.77.248.170,8080,3,泰国-泰国,1.8912341594696045
59.34.2.93,3128,3,中国-广东-肇庆,1.9060099124908447
122.114.36.13,808,3,中国-河南-郑州,1.9215950965881348
47.89.41.164,80,3,美国-美国,1.9260239601135254
200.29.191.149,3128,3,智利-智利,1.9660110473632812
65.98.2.22,3128,3,美国-美国,2.014822006225586
124.134.225.35,8888,3,中国-山东-潍坊,2.037982940673828
149.56.206.48,8080,3,美国-美国,2.0476369857788086
182.48.113.11,8088,3,中国-北京-北京,2.051177978515625
5.189.135.39,3128,3,德国-德国,2.055781841278076
101.204.16.171,8080,3,中国-四川-成都,2.0679850578308105
203.136.135.84,80,3,日本-日本,2.0960240364074707
128.199.150.50,3128,3,新加坡-新加坡,2.1122281551361084
162.13.86.16,8080,3,英国-英国,2.1313791275024414
94.177.250.70,8080,3,罗马尼亚-罗马尼亚,2.2353451251983643
180.106.197.15,81,3,中国-江苏-苏州,2.277661085128784
61.160.190.34,8088,3,中国-江苏-泰州,2.3316941261291504
62.100.206.253,3128,3,荷兰-荷兰,2.337907075881958
117.28.255.84,80,3,中国-福建-厦门,2.3386549949645996
110.77.208.225,3128,3,泰国-泰国,2.432049036026001
183.19.15.36,3128,3,中国-广东-肇庆,2.458017110824585
115.28.101.22,3128,3,中国-山东-青岛,2.4586269855499268
128.199.253.84,8080,3,新加坡-新加坡,2.465405225753784
128.199.185.162,3128,3,新加坡-新加坡,2.507050037384033
122.72.18.160,80,3,中国-山西,2.5344719886779785
211.143.146.235,80,3,中国-福建-福州,2.5423200130462646
67.205.147.116,8080,3,美国-美国,2.543121099472046
212.59.240.64,3128,3,波兰-波兰,2.56820011138916
113.185.19.200,80,3,越南-越南,2.612104892730713
112.255.9.71,81,3,中国-山东-青岛,2.630753993988037
92.222.237.42,8898,3,法国-法国,2.6564810276031494
124.207.186.154,3128,3,中国-北京-北京,2.6676859855651855
103.42.251.24,8080,3,印度-印度,2.734678030014038
92.222.237.75,8898,3,法国-法国,2.735079050064087
120.55.249.97,8080,3,中国-浙江-杭州,2.739428997039795
74.208.146.112,80,3,美国-美国,2.8100268840789795
60.11.41.124,3128,3,中国-黑龙江-伊春,2.83322811126709
183.18.165.186,3128,3,中国-广东-肇庆,2.8572418689727783
60.15.8.130,3128,3,中国-黑龙江-伊春,2.9209258556365967
50.30.152.130,8086,3,美国-美国,2.923760175704956
188.113.138.238,3128,3,俄罗斯-俄罗斯,2.925503969192505
65.246.163.54,3128,3,美国-美国,2.9700927734375
101.4.136.34,80,3,中国-中国--赛尔新技术(北京)有限公司,2.9786300659179688
158.69.87.143,3128,3,加拿大-加拿大,3.012086868286133
91.250.119.107,3128,3,德国-德国,3.0631489753723145
112.195.65.181,8118,3,中国-四川-眉山,3.065570831298828
219.131.111.15,3128,3,中国-广东-肇庆,3.0759530067443848
204.13.164.179,80,3,美国-美国,3.088602066040039
49.83.96.79,81,3,中国-江苏-盐城,3.0937609672546387
202.152.40.28,8080,3,印度尼西亚-印度尼西亚,3.1709799766540527
42.5.120.30,8888,3,中国-辽宁,3.173305034637451
112.195.73.108,8118,3,中国-四川-眉山,3.199954032897949
197.234.33.162,8080,3,尼日利亚-尼日利亚,3.274764060974121
27.210.173.225,81,3,中国-山东-青岛,3.2934601306915283
122.96.59.106,82,3,中国-江苏-南京,3.326108932495117
112.87.101.143,81,3,中国-江苏-无锡,3.333631992340088
112.87.108.88,81,3,中国-江苏-无锡,3.337100028991699
120.25.105.45,81,3,中国-广东-深圳,3.3624658584594727
41.33.43.168,8080,3,埃及-埃及,3.421815872192383
94.177.232.163,3128,3,罗马尼亚-罗马尼亚,3.4544317722320557
58.67.159.50,80,3,中国-广东-广州-gzidc.com,3.459660053253174
131.221.41.34,8080,3,哥伦比亚-哥伦比亚,3.525522232055664
200.61.47.14,3128,3,阿根廷-阿根廷,3.597665786743164
65.98.2.19,3128,3,美国-美国,3.6380670070648193
200.109.182.109,8080,3,委内瑞拉-委内瑞拉,3.645689010620117
122.96.59.107,80,3,中国-江苏-南京,3.664433002471924
92.222.237.119,8888,3,法国-法国,3.71462082862854
175.155.153.174,8118,3,中国-四川-眉山,3.7677979469299316
210.21.73.124,80,3,中国-广东-广州,3.845736026763916
107.178.4.109,8080,3,美国-美国,3.9107139110565186
59.34.19.111,3128,3,中国-广东-肇庆,3.9193880558013916
163.172.12.246,80,3,法国-法国,4.082982063293457
122.70.135.27,80,3,中国-北京-北京,4.099822044372559
149.86.225.105,80,3,波兰-波兰,4.2464399337768555
111.201.239.27,81,3,中国-北京-北京,4.2663750648498535
49.75.130.214,808,3,中国-江苏-苏州,4.304296970367432
5.196.44.136,3128,3,法国-法国,4.41975212097168
123.166.185.143,808,3,中国-黑龙江-哈尔滨,4.420951843261719
89.40.126.228,3128,3,罗马尼亚-罗马尼亚,4.467583894729614
120.92.3.165,80,3,中国-北京-北京-kingsoft.com,4.47339391708374
85.143.209.218,3128,3,俄罗斯-俄罗斯,4.491185903549194
84.52.93.202,3128,3,俄罗斯-俄罗斯,4.556524991989136
60.191.170.122,3128,3,中国-浙江-台州,4.577862977981567
45.55.78.249,8080,3,美国-美国,4.735116004943848
120.83.233.143,9999,3,中国-广东-中山,4.740679025650024
5.9.117.40,3128,3,德国-德国,4.783052921295166
223.99.228.108,80,3,中国-山东,4.813910961151123
101.251.199.66,3128,3,中国-北京-北京,4.819261074066162
88.204.163.131,3128,3,哈萨克斯坦-哈萨克斯坦,4.881659030914307
198.50.211.54,80,3,加拿大-加拿大,4.900878190994263
91.205.173.222,3128,3,德国-德国,4.935708045959473
183.147.24.68,8118,3,中国-浙江-金华,4.961208820343018
82.102.14.187,8080,3,英国-英国,5.000400066375732
121.41.110.73,8080,3,中国-浙江-杭州,5.082961082458496
123.30.238.16,3128,3,越南-越南,5.392904996871948
89.203.249.22,3128,3,捷克-捷克,5.4266510009765625
87.98.219.96,8080,3,法国-法国,5.465751886367798
115.28.188.178,8888,3,中国-山东-青岛,5.523673057556152
175.155.156.112,8118,3,中国-四川-眉山,5.526566028594971
201.55.46.6,80,3,巴西-巴西,5.59049916267395
218.82.85.29,1080,3,中国-上海-上海,5.659165143966675
119.28.19.222,8888,3,中国-香港,5.671205997467041
121.46.4.17,3128,3,中国-广东-广州-ofidc.com,5.676177024841309
221.182.89.234,63000,3,中国-四川-自贡,5.761749029159546
192.3.29.151,80,3,美国-美国,5.812943935394287
179.60.214.54,8080,3,特立尼达和多巴哥-特立尼达和多巴哥,5.833721876144409
183.129.151.130,80,3,中国-浙江-杭州,5.849530935287476
137.135.166.225,8139,3,爱尔兰-爱尔兰,5.89070200920105
92.222.237.12,8898,3,法国-法国,5.980509996414185
223.25.103.154,3128,3,印度尼西亚-印度尼西亚,6.0296900272369385
86.105.55.40,3128,3,意大利-意大利,6.068341016769409
78.156.49.234,80,3,捷克-捷克,6.074820041656494
36.232.112.91,3128,3,中国-台湾,6.089911937713623
121.10.234.15,3128,3,中国-广东-肇庆,6.109559059143066
77.110.142.181,8080,3,匈牙利-匈牙利,6.167983055114746
120.194.18.90,81,3,中国-河南-郑州,6.210179090499878
122.226.152.2,3128,3,中国-浙江-台州,6.225272178649902
171.5.133.50,8080,3,泰国-泰国,6.272902011871338
43.229.84.159,80,3,新加坡-新加坡,6.30473518371582
220.176.211.119,3128,3,中国-江西-上饶,6.331876039505005
121.41.93.254,80,3,中国-浙江-杭州,6.397607088088989
118.172.9.27,8080,3,泰国-泰国,6.520770788192749
